latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
28.65806,78.85381,336.02,0.76,0.77,2025-02-21,647,N,VIIRS,n,2,294.75,4.04,D,0
28.6604,78.85189,331.84,0.76,0.77,2025-02-21,647,N,VIIRS,n,2,294.3,7.77,D,0
26.73775,76.61523,334.52,0.44,0.46,2025-02-21,827,N,VIIRS,n,2,303.24,3.93,D,0
27.73548,75.66949,337.47,0.4,0.44,2025-02-21,827,N,VIIRS,n,2,306.39,3.36,D,0
27.9194,77.29428,340.99,0.5,0.49,2025-02-21,827,N,VIIRS,n,2,300.34,5.54,D,0
27.91962,77.29158,341.07,0.5,0.49,2025-02-21,827,N,VIIRS,n,2,299.51,5.0,D,0
28.92693,79.52969,338.05,0.35,0.57,2025-02-21,827,N,VIIRS,n,2,299.49,2.63,D,0
29.05122,78.07355,339.75,0.58,0.52,2025-02-21,827,N,VIIRS,n,2,295.5,16.06,D,0
29.0525,78.0693,341.02,0.58,0.52,2025-02-21,827,N,VIIRS,n,2,295.42,8.25,D,0
29.05754,78.9296,332.1,0.33,0.55,2025-02-21,827,N,VIIRS,n,2,294.45,1.5,D,0
29.10505,77.91046,327.54,0.57,0.52,2025-02-21,827,N,VIIRS,n,2,296.22,2.97,D,0
29.16435,77.66641,328.04,0.55,0.51,2025-02-21,827,N,VIIRS,n,2,293.36,2.92,D,0
29.21185,77.7131,330.63,0.55,0.51,2025-02-21,827,N,VIIRS,n,2,296.0,4.33,D,0
29.26324,76.86044,353.14,0.49,0.49,2025-02-21,827,N,VIIRS,n,2,284.58,18.47,D,0
29.26399,76.85708,335.84,0.49,0.49,2025-02-21,827,N,VIIRS,n,2,281.31,7.94,D,0
29.26447,76.86221,339.54,0.49,0.49,2025-02-21,827,N,VIIRS,n,2,283.52,12.41,D,0
29.30165,79.0789,332.45,0.33,0.56,2025-02-21,827,N,VIIRS,n,2,299.11,2.41,D,0
29.30194,79.0824,336.87,0.33,0.56,2025-02-21,827,N,VIIRS,n,2,299.67,2.41,D,0
28.33858,77.22011,309.33,0.5,0.41,2025-02-21,2052,N,VIIRS,n,2,285.95,0.92,N,0
28.7449,76.92966,317.53,0.48,0.4,2025-02-21,2052,N,VIIRS,n,2,285.44,1.19,N,2
28.77585,76.94735,300.77,0.48,0.4,2025-02-21,2052,N,VIIRS,n,2,284.48,0.72,N,0
