latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
28.1005,80.55494,326.27,0.63,0.72,2025-02-21,647,N,VIIRS,n,2,293.3,2.59,D,0
28.47844,81.2257,328.19,0.57,0.69,2025-02-21,647,N,VIIRS,n,2,296.15,5.03,D,0
28.47997,81.23146,331.91,0.56,0.69,2025-02-21,647,N,VIIRS,n,2,295.72,4.52,D,0
28.48618,81.22941,334.12,0.56,0.69,2025-02-21,647,N,VIIRS,n,2,296.11,7.09,D,0
28.50933,81.24049,325.21,0.56,0.69,2025-02-21,647,N,VIIRS,n,2,294.83,5.15,D,0
28.65806,78.85381,336.02,0.76,0.77,2025-02-21,647,N,VIIRS,n,2,294.75,4.04,D,0
28.6604,78.85189,331.84,0.76,0.77,2025-02-21,647,N,VIIRS,n,2,294.3,7.77,D,0
25.99016,81.06097,353.88,0.41,0.6,2025-02-21,826,N,VIIRS,n,2,299.07,9.32,D,0
25.9905,81.06517,367.0,0.41,0.6,2025-02-21,826,N,VIIRS,h,2,300.44,14.27,D,0
25.99855,81.85754,333.81,0.46,0.63,2025-02-21,826,N,VIIRS,n,2,298.24,3.02,D,0
26.02353,81.9553,349.34,0.46,0.64,2025-02-21,826,N,VIIRS,n,2,298.97,7.72,D,0
26.02914,81.95006,328.49,0.46,0.64,2025-02-21,826,N,VIIRS,n,2,297.57,7.2,D,0
26.02949,81.95482,367.0,0.46,0.64,2025-02-21,826,N,VIIRS,h,2,297.96,7.2,D,0
26.81908,81.90099,340.2,0.47,0.64,2025-02-21,827,N,VIIRS,n,2,297.66,7.76,D,0
26.82155,81.89774,353.55,0.47,0.64,2025-02-21,827,N,VIIRS,n,2,299.73,8.7,D,0
27.34652,80.2149,342.5,0.37,0.58,2025-02-21,827,N,VIIRS,n,2,299.97,4.4,D,0
27.49752,81.30575,346.67,0.44,0.62,2025-02-21,827,N,VIIRS,n,2,294.89,6.07,D,0
27.49786,81.3103,328.7,0.44,0.62,2025-02-21,827,N,VIIRS,n,2,293.92,6.89,D,0
27.5144,80.5255,328.48,0.39,0.59,2025-02-21,827,N,VIIRS,n,2,295.07,2.17,D,0
27.70769,81.47307,332.58,0.45,0.63,2025-02-21,827,N,VIIRS,n,2,296.02,3.13,D,0
28.12906,80.53003,339.95,0.4,0.6,2025-02-21,827,N,VIIRS,n,2,295.58,3.4,D,0
28.16285,81.16159,327.17,0.44,0.62,2025-02-21,827,N,VIIRS,l,2,297.67,2.44,D,0
28.16317,81.16612,327.28,0.44,0.62,2025-02-21,827,N,VIIRS,n,2,296.57,2.44,D,0
28.16866,81.16107,329.57,0.44,0.62,2025-02-21,827,N,VIIRS,n,2,295.48,2.44,D,0
28.22763,81.01092,327.62,0.43,0.62,2025-02-21,827,N,VIIRS,n,2,297.22,1.55,D,0
28.34044,81.89023,330.26,0.48,0.65,2025-02-21,827,N,VIIRS,n,2,293.94,2.91,D,0
28.34075,81.89508,325.97,0.49,0.65,2025-02-21,827,N,VIIRS,n,2,293.15,2.91,D,0
28.4762,81.22538,367.0,0.44,0.63,2025-02-21,827,N,VIIRS,h,2,300.98,10.85,D,0
28.47651,81.22999,335.02,0.44,0.63,2025-02-21,827,N,VIIRS,n,2,298.1,9.33,D,0
28.47679,81.22396,348.0,0.44,0.62,2025-02-21,827,N,VIIRS,n,2,299.8,8.05,D,0
28.47713,81.22858,367.0,0.44,0.63,2025-02-21,827,N,VIIRS,h,2,299.73,13.3,D,0
28.48236,81.22951,326.58,0.44,0.63,2025-02-21,827,N,VIIRS,n,2,300.12,3.44,D,0
28.4882,81.22898,331.23,0.44,0.63,2025-02-21,827,N,VIIRS,n,2,299.48,3.44,D,0
28.49404,81.2285,327.11,0.44,0.63,2025-02-21,827,N,VIIRS,l,2,299.25,4.76,D,0
28.5011,79.95492,339.86,0.37,0.58,2025-02-21,827,N,VIIRS,n,2,295.5,1.85,D,0
28.51536,80.56731,331.2,0.4,0.6,2025-02-21,827,N,VIIRS,n,2,298.23,2.54,D,0
28.51817,80.56452,337.26,0.4,0.6,2025-02-21,827,N,VIIRS,n,2,298.53,1.94,D,0
28.53593,81.23893,326.19,0.44,0.63,2025-02-21,827,N,VIIRS,l,2,299.5,2.77,D,0
28.79304,80.37093,367.0,0.4,0.6,2025-02-21,827,N,VIIRS,h,2,304.26,4.24,D,0
28.82419,80.12199,367.0,0.38,0.59,2025-02-21,827,N,VIIRS,h,2,300.9,8.74,D,0
28.92693,79.52969,338.05,0.35,0.57,2025-02-21,827,N,VIIRS,n,2,299.49,2.63,D,0
28.83963,82.42517,306.14,0.32,0.54,2025-02-21,2052,N,VIIRS,n,2,281.46,0.77,N,0
28.84006,82.42329,303.54,0.32,0.54,2025-02-21,2052,N,VIIRS,n,2,282.47,0.77,N,0
24.95779,82.60779,298.55,0.4,0.6,2025-02-21,2053,N,VIIRS,n,2,285.96,0.3,N,0
26.64171,79.48189,304.28,0.47,0.48,2025-02-21,2053,N,VIIRS,n,2,287.56,0.82,N,2
24.9184,80.7054,333.42,0.39,0.44,2025-02-22,807,N,VIIRS,n,2,301.33,2.8,D,0
24.91884,80.70919,340.09,0.39,0.44,2025-02-22,807,N,VIIRS,n,2,302.61,2.8,D,0
24.9408,81.04636,340.44,0.4,0.45,2025-02-22,807,N,VIIRS,n,2,300.34,4.99,D,0
25.8415,82.05685,328.7,0.48,0.48,2025-02-22,807,N,VIIRS,n,2,297.98,1.12,D,0
25.93466,82.013,329.14,0.47,0.48,2025-02-22,807,N,VIIRS,n,2,297.74,3.07,D,0
