city,permit_id,name,site_type,lat,lon,status,dust_control_compliant,last_inspected,source
delhi,DE-CNS-001,Road widening — site 1,Road widening,28.566356,77.161378,active,True,2026-05-22,sample
delhi,DE-CNS-002,Metro corridor extension — site 2,Metro corridor extension,28.553121,77.126951,active,True,2026-06-02,sample
delhi,DE-CNS-003,Metro corridor extension — site 3,Metro corridor extension,28.5495,77.23263,active,False,2026-05-30,sample
delhi,DE-CNS-004,Metro corridor extension — site 4,Metro corridor extension,28.450057,77.073429,active,True,2026-05-26,sample
delhi,DE-CNS-005,Residential complex — site 5,Residential complex,28.718756,77.173799,active,True,2026-06-22,sample
delhi,DE-CNS-006,Commercial tower — site 6,Commercial tower,28.664633,77.275502,active,True,2026-05-07,sample
delhi,DE-CNS-007,Commercial tower — site 7,Commercial tower,28.532551,77.10852,active,True,2026-06-10,sample
delhi,DE-CNS-008,Redevelopment block — site 8,Redevelopment block,28.422011,77.069741,active,False,2026-07-15,sample
delhi,DE-CNS-009,Residential complex — site 9,Residential complex,28.610783,77.207747,active,True,2026-04-28,sample
delhi,DE-CNS-010,Metro corridor extension — site 10,Metro corridor extension,28.736122,77.110392,active,True,2026-05-22,sample
delhi,DE-CNS-011,Residential complex — site 11,Residential complex,28.447327,77.10977,active,False,2026-06-08,sample
delhi,DE-CNS-012,Flyover works — site 12,Flyover works,28.459737,76.955292,active,True,2026-06-25,sample
delhi,DE-CNS-013,Bhalaswa,Commercial tower,28.736871,77.167978,active,False,2026-05-20,sample
delhi,DE-CNS-014,Commercial tower — site 14,Commercial tower,28.422011,77.069741,active,False,2026-07-15,sample
delhi,DE-CNS-015,Godrej Astra,Residential complex,28.43293,77.106237,active,True,2026-07-01,sample
delhi,DE-CNS-016,Metro corridor extension — site 16,Metro corridor extension,28.578997,77.19933,active,True,2026-07-07,sample
delhi,DE-CNS-017,Metro corridor extension — site 17,Metro corridor extension,28.580268,77.192983,active,False,2026-06-30,sample
delhi,DE-CNS-018,Commercial tower — site 18,Commercial tower,28.444484,76.966373,active,True,2026-06-26,sample
delhi,DE-CNS-019,Metro corridor extension — site 19,Metro corridor extension,28.596536,77.188301,active,False,2026-04-24,sample
delhi,DE-CNS-020,Metro corridor extension — site 20,Metro corridor extension,28.563686,77.189567,active,True,2026-07-16,sample
delhi,DE-CNS-021,Residential complex — site 21,Residential complex,28.564203,77.189556,active,True,2026-05-03,sample
delhi,DE-CNS-022,Flyover works — site 22,Flyover works,28.550262,77.105747,active,True,2026-05-29,sample
delhi,DE-CNS-023,Nextra Commercial Site,Road widening,28.618796,77.28822,active,True,2026-06-03,sample
delhi,DE-CNS-024,MGM,Metro corridor extension,28.553522,77.125282,active,True,2026-07-11,sample
delhi,DE-CNS-025,Residential complex — site 25,Residential complex,28.444484,76.966373,active,False,2026-05-09,sample
delhi,DE-CNS-026,Commercial tower — site 26,Commercial tower,28.476082,77.094394,active,True,2026-04-20,sample
delhi,DE-CNS-027,Metro corridor extension — site 27,Metro corridor extension,28.449084,77.087159,active,True,2026-04-26,sample
delhi,DE-CNS-028,Metro corridor extension — site 28,Metro corridor extension,28.4434,76.9676,active,True,2026-05-04,sample
delhi,DE-CNS-029,Road widening — site 29,Road widening,28.610783,77.207747,active,False,2026-05-24,sample
delhi,DE-CNS-030,Commercial tower — site 30,Commercial tower,28.607,77.131024,active,True,2026-04-20,sample
